year,month,day,lat(degree),lon(degree),hypernav_time(h),sza(degree),insitu_Rrs380(1/sr),insitu_Rrs412(1/sr),insitu_Rrs443(1/sr),insitu_Rrs490(1/sr),insitu_Rrs530(1/sr),insitu_Rrs565(1/sr),insitu_Rrs670(1/sr),insitu_Rrs380_uncertainty(1/sr),insitu_Rrs412_uncertainty(1/sr),insitu_Rrs443_uncertainty(1/sr),insitu_Rrs490_uncertainty(1/sr),insitu_Rrs530_uncertainty(1/sr),insitu_Rrs565_uncertainty(1/sr),insitu_Rrs670_uncertainty(1/sr),sgli_time(h),sgli_sza(degree),sgli_vza(degree),sgli_Rrs380_mean(1/sr),sgli_Rrs412_mean(1/sr),sgli_Rrs443_mean(1/sr),sgli_Rrs490_mean(1/sr),sgli_Rrs530_mean(1/sr),sgli_Rrs565_mean(1/sr),sgli_Rrs670_mean(1/sr),sgli_Rrs380_std(1/sr),sgli_Rrs412_std(1/sr),sgli_Rrs443_std(1/sr),sgli_Rrs490_std(1/sr),sgli_Rrs530_std(1/sr),sgli_Rrs565_std(1/sr),sgli_Rrs670_std(1/sr),taua670,taua865
2023.0,9.0,23.0,19.7363,-156.2778,21.78666666666667,21.298133850097656,0.014006398618221283,0.013386177830398083,0.009909801185131073,0.006595247890800238,0.0024735075421631336,0.0013436042936518788,0.00013924852828495204,0.000419471733039245,0.00039838935481384397,0.00028915831353515387,0.0001776071876520291,6.7408342147246e-05,3.763894710573368e-05,5.150260221853387e-06,21.383333333333333,23.784000000000002,39.489000000000004,0.012765161072214445,0.011371158684293428,0.008435827783412404,0.0055957212009363705,0.002282523757053746,0.0009678990269700686,6.738491356372833e-05,0.0001664021209842645,0.00013683267738947284,0.00015010749481632885,7.383670930964526e-05,0.00021067344892839203,5.9170584076022076e-05,0.0,0.22433332888888888,0.21367777333333335
2023.0,9.0,24.0,19.867,-156.2417,22.080277777777777,20.71044158935547,0.006591718178242445,0.007003827020525932,0.005360625218600035,0.003726175520569086,0.0010554967448115349,0.0004451570857781917,3.0749652069061995e-05,0.00021763441327493638,0.00022415975399781018,0.0001679678534856066,0.00010841890616575256,3.485860725049861e-05,1.646066266403068e-05,2.120040562658687e-06,20.933333333333334,28.126,9.084,0.015340626239776611,0.012718715187576082,0.009673253115680482,0.0064633917063474655,0.0026775888270801967,0.001320312006605996,7.237633690237999e-05,0.00019820100293280784,0.0001774811921880969,0.00012683153686243194,4.1616365695578985e-05,2.843944880364396e-05,1.2587550508748233e-05,0.0,0.04918888811111111,0.04017777711111111
2023.0,7.0,7.0,20.0462,-156.2133,21.784444444444446,10.252311706542969,0.013553187251091003,0.012010196223855019,0.008857350796461105,0.005832791328430176,0.0021081746090203524,0.001103773363865912,8.928804891183972e-05,0.00043088372331112623,0.00037282827543094754,0.0002685210492927581,0.00016392541874665767,6.509789091069251e-05,3.827960244962014e-05,6.460218628490111e-06,20.8,23.341,25.588000000000005,0.018177682119939063,0.015564547023839422,0.01198897303806411,0.00729803161488639,0.0029958169907331467,0.0013919537369575766,7.551913667056296e-05,0.00022819484817212848,0.00022619651568275186,0.0001620656850916209,0.00010828688736812809,0.00012640164819911865,9.715709133006647e-05,3.4575868464066024e-07,0.04592222177777778,0.03266666644444445
2023.0,7.0,2.0,19.7231,-156.3324,21.78777777777778,10.340049743652344,0.015252753160893917,0.013589607551693916,0.009574717842042446,0.006187892518937588,0.0022510443814098835,0.0012018453562632203,0.0001132438555941917,0.0004568731237668544,0.00040266287396661937,0.0002780031645670533,0.00016573579341638833,6.228611164260656e-05,3.5025143006350845e-05,5.009027972846525e-06,21.35,15.893999999999998,35.454,0.013091227246655358,0.012031552071372667,0.009524949515859285,0.005794117641117837,0.0024294444980720678,0.0006262285945316156,6.93262554705143e-05,0.0005671676031228526,0.0005894176186920288,0.0006720215108828315,0.0004941865797134052,0.00035876222317174654,0.00021037340864945656,7.843265090074186e-07,0.12315555444444445,0.12965555433333334
2021.0,11.0,20.0,19.9313,-156.5501,22.45111111111111,39.98525619506836,0.012354805134236813,0.010995559394359589,0.008298033848404884,0.005704614799469709,0.0021895032841712236,0.0011872592149302363,0.00012218972551636398,0.0003818286641035229,0.00033646775409579277,0.0002475920773576945,0.00015660088683944196,6.096410288591869e-05,3.417978223296814e-05,4.824606548936572e-06,21.1,42.76233333333334,18.35,0.012577710880173577,0.010687078659733137,0.008652686037951045,0.005484736938443448,0.002450004271748993,0.0010723864349226158,7.819979348116451e-05,0.0003854707929468327,0.00027739708462808365,0.0004029099214419902,0.00013638228989226476,0.00041713575211139195,9.501116016009405e-05,1.8394555131111235e-06,0.2833555522222222,0.2672555511111111
2022.0,5.0,1.0,18.9341,-156.9119,21.863333333333333,8.655250549316406,0.014339865185320377,0.01327655091881752,0.009577066637575626,0.0060830856673419476,0.002140840981155634,0.0011326716048642993,0.0001194187716464512,0.0004385551146697253,0.00040239133522845805,0.00028615453629754484,0.00017037826182786375,6.503445183625445e-05,3.712497709784657e-05,6.501648385892622e-06,21.35,15.154,37.087999999999994,0.011715873868929015,0.010792128327820037,0.008834353130724695,0.0061485655605793,0.0018868582944075267,0.0008331165752477116,6.988085806369781e-05,0.00015264408955314779,0.00010678995592719062,7.225475704971087e-05,4.770664328589948e-05,5.6982136113971634e-05,5.3050568641105925e-06,0.0,0.47148888,0.47872221000000004
2022.0,5.0,9.0,19.175,-156.8177,21.100555555555555,18.479530334472656,0.013129555620253086,0.012049447745084763,0.008743450976908207,0.005842884536832571,0.0021502564195543528,0.0011526994640007615,0.0001231864735018462,0.00042607358773238957,0.0003861625154968351,0.00027742027305066586,0.000175447654328309,7.314286631299183e-05,4.309864016249776e-05,7.1349882091453765e-06,21.15,17.252,17.175,0.011034492196308242,0.010382556253009372,0.009018580118815104,0.00624185252106852,0.00251821211228768,0.0007511959928605291,6.988085806369781e-05,9.10913084035393e-05,6.878644894827191e-05,7.502467663854544e-05,7.18008043548545e-05,6.396915123293892e-05,6.408488231241193e-06,0.0,0.03206666622222223,0.10264444344444443
2022.0,4.0,24.0,19.8417,-156.7313,21.763055555555557,11.559486389160156,0.013614132069051266,0.012072945944964886,0.008802630007266998,0.005956926848739386,0.002220544032752514,0.0011927200248464942,0.00012716605851892382,0.0004153902700636536,0.00036515886313281953,0.0002613704709801823,0.00016364065231755376,6.304936687229201e-05,3.5517372452886775e-05,6.1421615100698546e-06,21.1,19.61,11.076,0.009434300578302808,0.009120338699883886,0.007774496813201242,0.0062242986427413095,0.0020855539478361607,0.0009338942666848501,6.988085806369781e-05,0.0007632893750592738,0.0005575533890030279,0.0005258429847825187,0.00028004522256456853,0.0003193305901936313,0.00039954254051475195,0.0,,0.0643222211111111
2022.0,4.0,21.0,19.7757,-156.4461,23.533333333333335,17.9576416015625,0.011285722255706787,0.010122457519173622,0.007909742183983326,0.005603397730737925,0.002187825972214341,0.0011836841003969312,0.0001147050061263144,0.0003493325784802437,0.0003092945262324065,0.00023577932734042406,0.00015364673163276166,6.129612302174792e-05,3.447002745815553e-05,4.7084540710784495e-06,20.766666666666666,24.489,27.179999999999996,0.01453156458834807,0.012490445127089819,0.010738670412037108,0.0070241886294550365,0.003115949738356802,0.0016139120691352421,7.514950508872668e-05,9.680671813567539e-05,0.00016729346288274364,0.00011692687673795858,4.563413727674437e-05,4.382399359428928e-05,1.2631060265217665e-05,3.9205349708571216e-07,0.0867111098888889,0.07108888744444444
2021.0,6.0,11.0,19.707,-156.2858,22.219166666666666,4.3887481689453125,0.012659307569265366,0.011577247641980648,0.008697024546563625,0.005881791468709707,0.002200409071519971,0.0011761182686313987,0.0001079778085113503,0.0003865470935124904,0.0003491617680992931,0.0002573013480287045,0.00016112109005916864,6.372171628754586e-05,3.648382335086353e-05,5.8568148233462125e-06,20.833333333333332,21.796000000000003,3.8699999999999997,0.010879725217819214,0.009668705777989494,0.00825079551173581,0.005251519071559112,0.0018601453759604031,0.0005731347741352187,7.357800172434913e-05,0.0002613420338077483,0.00020271798550609127,0.00011820815495792567,6.075875640445306e-05,7.299554174792732e-05,6.76535150596559e-05,2.1873777545043713e-06,0.19019999888888892,0.18544444000000002
